Time,Site,Live/Recording,Activity,Studio,"Machine
Type","Machine
Name","Show
Duration",Outlet,"Test
Playlist",Description,Notes
07:15,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'15,BBC 1,3,Breakfast,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:20,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343691,2'00,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:30,Belfast,Live,Loading for Edit,N/A,Edit,F1-D0N343054,Typically <1'00,BBC One Northern Ireland,1,Breakfast ,
07:30,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343690,1'15,Forces TV (BFBS),2,BFBS UK 1'15,Collected by BFBS from Davina
07:30,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'00,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:30,Nottingham,Live,Loading for Edit,N/A,Edit,F1-D0N343668,Typically <1'00,BBC One Nottingham,0,Breakfast ,
07:35,Cardiff,Live,Loading for Edit,N/A,Edit,F1-D0N343655,Typically <1'00,BBC One Wales,1,Breakfast ,
07:40,Glasgow,Live,Loading for Edit,N/A,Edit,F1-D0N343658,Typically <1'00,BBC One Scotland,1,Breakfast ,
07:45,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic Gulf morning - graphics only,Currently sent as one show with the following five and split for transmission by Arabic playout
07:45,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,2'30,BBC News and website,3,UK 2'30,
07:45,Leeds,Live,Loading for Edit,N/A,Edit,F1-D0N343660,Typically <1'00,BBC One Leeds,0,Breakfast ,
07:50,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343692,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:50,Plymouth,Live,Loading for Edit,N/A,Edit,F1-D0N343673,Typically <1'00,BBC One Plymouth,0,Breakfast ,
07:50,London - Peel,Live,Loading for Edit,N/A,Edit,F1-D0N343684,Typically <1'00,BBC One London,0,Breakfast ,
07:55,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343693,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
07:57,Belfast,Live,Loading in Studio,Belfast,Playout,F1-D0N343685,Typically <1'00,BBC One Northern Ireland,1,Breakfast ,
07:57,Cardiff,Live,Loading in Studio,Cardiff,Playout,F1-D0N343656,Typically <1'00,BBC One Wales,1,Breakfast ,
07:57,Glasgow,Live,Loading in Studio,Glasgow,Playout,F1-D0N343659,Typically <1'00,BBC One Scotland,1,Breakfast ,
07:57,Leeds,Live,Loading in Studio,Leeds,Playout,F1-D0N343661,Typically <1'00,BBC One Leeds,0,Breakfast ,
07:57,London - Peel,Live,Loading in Studio,London,Playout,F1-D0N343705,Typically <1'00,BBC One London,0,Breakfast ,
07:57,Nottingham,Live,Loading in Studio,Nottingham,Playout,F1-D0N343668,Typically <1'00,BBC One Nottingham,0,Breakfast ,
07:57,Plymouth,Live,Loading in Studio,Plymouth,Playout,F1-D0N343671,Typically <1'00,BBC One Plymouth,0,Breakfast ,
08:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343686,0'30,BBC Arabic,2,Arabic Gulf evening - graphics only,
08:00,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343688,0'10,BBC 1,3,Breakfast headline,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
08:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343691,3'00,BBC World  ,2,World 0900 Extended 3'00,
08:00,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic Gulf evening - graphics only,
08:00,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'00,BBC News,3,UK 1'00,
08:05,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343692,2'00,BBC World  ,2,World 0900 Extended 2'00,
08:15,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
08:15,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'15,Forces TV (BFBS),2,BFBS UK 1'15,Collected by BFBS from Davina
08:20,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343686,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
08:20,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343693,0'30,BBC Arabic,2,Arabic Gulf morning - graphics only,Currently sent as one show with the following five and split for transmission by Arabic playout
08:25,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343687,0'30,BBC Arabic,2,Arabic North Africa morning - graphics only,
08:30,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic North Africa morning - graphics only,
08:30,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,3'00,BBC World  ,2,World 0900 Extended 3'00,
08:30,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343688,0'30,BBC Arabic,2,Arabic North Africa evening - graphics only,
08:35,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343689,0'30,BBC Arabic,2,Arabic global morning - graphics only,
08:40,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343690,0'30,BBC Arabic,2,Arabic global evening - graphics only,
08:40,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343692,1'00,BBC Persian,2,Persian 1'00 global - graphics only,
08:45,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic North Africa evening - graphics only,
08:45,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,2'00,BBC World  ,2,World 0900 Extended 2'00,
08:45,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343691,1'00,BBC Persian,2,Persian 1'00 Iran - graphics only,Currently sent as one show with the following one and split for transmission by Persian playout
08:50,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343693,1'30,BBC World and website,2,World Region A (Asia-Pacific),
08:50,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343687,2'30,BBC News,3,BBC News,
08:55,London - NBH,Live,Loading for Edit,N/A,Edit,F1-D0N343688,2'30+,BBC 2,3,Victoria Derbyshire,Created early so that back-up gfx can be sent to gallery. Simulcast on BBC News
09:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343686,1'30,BBC World and website,2,World Region B (South and Central Asia),
09:00,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic global morning - graphics only,
09:00,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343698,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:10,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343687,1'30,BBC World and website,2,World Region C (North America),
09:10,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343692,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:15,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'30,BBC Arabic,2,Arabic global evening - graphics only,
09:20,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343691,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:20,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343688,1'30,BBC World and website,2,World Region D (South and Central America),
09:30,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343689,1'30,BBC World and website,2,World Region E (Europe),
09:30,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343686,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:30,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343690,1'30,BBC World and website,2,World Region F (Middle East and Africa),
09:30,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'15,BBC 1,3,Breakfast ,"Or gfx created overnight, sent to Salford, played by Salford gallery for OB"
09:30,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region A (Asia-Pacific),
09:40,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343692,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:45,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,1'00,BBC Persian,2,Persian 1'00 Iran - graphics only,Currently sent as one show with the following one and split for transmission by Persian playout
09:45,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region B (South and Central Asia),
09:50,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343686,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
09:50,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343691,2'15,Forces TV (BFBS),2,BFBS global 2'15,Collected by BFBS from Davina
09:57,London - NBH,Live,Loading in Studio,B,Playout,F1-D0N343683,2'30+,BBC 2,3,Victoria Derbyshire,Created early so that back-up gfx can be sent to gallery. Simulcast on BBC News
10:00,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343687,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
10:00,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,1'00,BBC Persian,2,Persian 1'00 global - graphics only,
10:00,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region C (North America),
10:10,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343688,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
10:15,London - NBH,Live,Loading in Studio,H,Playout,F1-D0N343697,2'30,BBC News,3,BBC News,
10:15,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region D (South and Central America),
10:20,London - NBH,Other,Loading for Other,N/A,Edit,F1-D0N343689,Various,N/A,3,"Producer, Forecaster, Graphics Design etc usage",
